Title,Name,Date,Medium,Dimensions,Acquisition Date,Department,Classification,Height (cm),Width (cm),,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective at roof corner",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective and plan",Ludwig Mies van der Rohe,1944,Colored pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Structural details.  Section",Ludwig Mies van der Rohe,1944,Red pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective at roof corner",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Stairway.  Interior perspective",Ludwig Mies van der Rohe,1944,Pencil on Apex note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective at roof corner",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,Graphite and yellow pencil on Apex notepaper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,Pencil and yellow pencil on note paper,"20 1/4 x 30 3/4"" (51.4 x 78.1 cm)",,Architecture & Design,Mies van der Rohe Archive,51.4351,78.1052,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Stairway.  Interior perspective",Ludwig Mies van der Rohe,1944,Pencil on Apex note paper,"6 x 8 1/4"" (15.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,20.955,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Corner.  Exterior perspective",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Corner.  Exterior perspective",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Window.  Exterior perspective",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Window.  Exterior perspective",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,Colored pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,Colored pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Library and Administration Building, Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,Red pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Library and Administration Building, Chicago, Illinois, Interior perspective",Ludwig Mies van der Rohe,1944,Pencil on tracing paper,"21 x 30"" (53.3 x 76.2 cm)",,Architecture & Design,Mies van der Rohe Archive,53.3401,76.2002,,
"IIT Library and Administration Building, Chicago, Illinois, Interior corner.  Perspective",Ludwig Mies van der Rohe,1944,Pencil on vellum,"18 1/2 x 25"" (47 x 63.5 cm)",,Architecture & Design,Mies van der Rohe Archive,46.9901,63.5001,,
"IIT Library and Administration Building, Chicago, Illinois, Structural detail",Ludwig Mies van der Rohe,1944,Pencil on vellum,"34 x 48"" (86.4 x 121.9 cm)",,Architecture & Design,Mies van der Rohe Archive,86.3602,121.9202,,
"IIT Library and Administration Building, Chicago, Illinois, Structural detail",Ludwig Mies van der Rohe,1944,Pencil on vellum,"34 x 48"" (86.4 x 121.9 cm)",,Architecture & Design,Mies van der Rohe Archive,86.3602,121.9202,,
"IIT Library and Administration Building, Chicago, Illinois, Interior perspective",Ludwig Mies van der Rohe,1944,Pencil on vellum,"36 x 45"" (91.4 x 114.3 cm)",,Architecture & Design,Mies van der Rohe Archive,91.4402,114.3002,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Structural detail.  Section",Ludwig Mies van der Rohe,1944,"Pencil, red pencil on paper","45 1/4 x 51"" (114.9 x 129.6 cm)",,Architecture & Design,Mies van der Rohe Archive,114.9352,129.6,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Structural detial.  Section",Ludwig Mies van der Rohe,1944,Graphite and red pencil on vellum,"42 x 41"" (106.7 x 104.1 cm)",,Architecture & Design,Mies van der Rohe Archive,106.6802,104.1402,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,"Pencil, charcoal on tracing paper","21 x 31 3/4"" (53.3 x 80.6 cm)
",,Architecture & Design,Mies van der Rohe Archive,53.3401,80.6452,,
"IIT Library and Administration Building, Chicago, Illinois, Interior perspective: Library and Mezzanine",Ludwig Mies van der Rohe,1944,Graphite on paper,"23 3/4 x 53 1/2"" (60.3 x 135.9 cm)",,Architecture & Design,Mies van der Rohe Archive,60.3251,135.8903,,
"IIT Library and Administration Building, Chicago, Illinois, Floor plan",Ludwig Mies van der Rohe,1944,Pencil on tracing paper,"13 1/2 x 20 1/2"" (34.3 x 52.1 cm)",,Architecture & Design,Mies van der Rohe Archive,34.2901,52.0701,,
"IIT Library and Administration Building, Chicago, Illinois, Two perspectives, ceiling and coffer detail, sketch",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, Illinois, Perspective, ceiling and framing, sketch",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, Illinois, Interior perspective, sketch",Ludwig Mies van der Rohe,1944,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, IL, Exterior corner perspective, detail, sketch",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1944,Pencil and colored pencil on paper,"11 3/4 x 34"" (29.8 x 86.4 cm)",,Architecture & Design,Mies van der Rohe Archive,29.8451,86.3602,,
"Illinois Institute of Technology, Chicago, Perspective",Ludwig Mies van der Rohe,1944,Pencil on paper,"Sheet: 6 x 8 1/2"" (15.2 x 21.6 cm)",12/11/00,Architecture & Design,Architecture,15.24,21.59,,
"Illinois Institute of Technology, Chicago, Perspective",Ludwig Mies van der Rohe,1944,Pencil on note paper,"Sheet: 6 x 8 1/2"" (15.2 x 21.6 cm)",12/11/00,Architecture & Design,Architecture,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Section, structural detail",Ludwig Mies van der Rohe,1944,Graphite and colored pencil on paper,"42 x 41"" (106.7 x 104.1 cm)",,Architecture & Design,Mies van der Rohe Archive,106.6802,104.1402,,
"IIT Library and Administration Building, Chicago, Illinois, Structural detail",Ludwig Mies van der Rohe,1944,Pencil on vellum,"34 x 48"" (86.4 x 121.9 cm)",,Architecture & Design,Mies van der Rohe Archive,86.36017272,121.9202438,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois (Longitudinal section, two cross-sections)",Ludwig Mies van der Rohe,1944,Pencil on vellum,"26 x 45 3/4"" (66 x 116.2 cm)",,Architecture & Design,Mies van der Rohe Archive,66.04013208,116.2052324,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, IL (Four exterior elevations)",Ludwig Mies van der Rohe,1944,Pencil on vellum,"25 3/4 x 45 1/2"" (65.4 x 115.6 cm)",,Architecture & Design,Mies van der Rohe Archive,65.40513081,115.5702311,,
"IIT Library and Administration Building, Chicago, IL (Perspective sketch, window detail)",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.6,,
"IIT Library and Administration Building, Chicago, IL (Interior perspective sketch)",Ludwig Mies van der Rohe,1944,Pencil on tracing paper,"8 1/4 x 11 1/2"" (21 x 29.2 cm)",,Architecture & Design,Mies van der Rohe Archive,20.95504191,29.21005842,,
"IIT Library and Administration Building, Chicago, IL (Interior perspective of library entrance lobby)",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 12 1/2"" (15.2 x 31.8 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,31.7500635,,
"IIT Library and Administration Building, Chicago, IL (Exterior perspective)",Ludwig Mies van der Rohe,1944,Colored pencil on paper,"6 x 12 1/2"" (15.2 x 31.8 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,31.7500635,,
"IIT Library and Administration Building, Chicago, IL (Exterior perspective sketch)",Ludwig Mies van der Rohe,1944,Pencil and colored pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, IL (Exterior perspective sketch)",Ludwig Mies van der Rohe,1944,Pencil and colored pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, IL (Exterior perspective sketch)",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.6,,
"IIT Library and Administration Building, Chicago, IL (Perspective, interior court corner)",Ludwig Mies van der Rohe,1944,Pencil on vellum,"18 1/2 × 25"" (47 × 63.5 cm)",,Architecture & Design,Mies van der Rohe Archive,46.99009398,63.500127,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois (Interior perspective and plan sketch)",Ludwig Mies van der Rohe,1944,Pencil and clored pencil on paper,"6 × 8 1/2"" (15.2 × 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois (Interior perspective sketch)",Ludwig Mies van der Rohe,1944,"MR5411*
","6 × 8 1/2"" (15.2 × 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Library and Administration Building, Chicago, IL (Structural detail, section. Sketch.)",Ludwig Mies van der Rohe,1944,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.6,,
"Court House Project, Plan",Ludwig Mies van der Rohe,1945,Ink and dot pattern on illustration board,"30 x 40"" (76.2 x 101.6 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,76.2001524,101.6002032,,
"Illinois Institute of Technology, Metallurgy and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Perspective",Ludwig Mies van der Rohe,1945,Conté crayon on illustration board,30 x 40 (76.1 x 101.5 cm),12/10/63,Architecture & Design,Mies van der Rohe Archive,76.1,101.5,,
"Illinois Institute of Technology, Metallurgy and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1945,Conté crayon on illustration board,"30 x 40"" (76.1 x 101.5 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,76.1,101.5,,
"Illinois Institute of Technology, Chemistry Building (Wishnick Hall), Chicago, Illinois, Perspective",Ludwig Mies van der Rohe,1945,Charcoal on paper,"30 x 40"" (76.1 x 101.5 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,76.1,101.5,,
"Farnsworth House, Plano, Illinois, Preliminary version: plan",Ludwig Mies van der Rohe,1945,Ink,"30 x 40"" (76.2 x 101.6 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,76.2002,101.6002,,
"Illinois Institute of Technology, Architecture and Applied Arts Building, Chicago, llinois, Perspective",Ludwig Mies van der Rohe,1945,Conté crayon on illustration board,"20 x 30"" (50.8 x 76.2 cm)",12/10/63,Architecture & Design,Mies van der Rohe Archive,50.8001,76.2002,,
"Farnsworth House, Plano, Illinois (Elevation)",Ludwig Mies van der Rohe,1945,Watercolor and graphite on tracing paper,"13 x 25"" (33 x 63.5 cm)",1/11/66,Architecture & Design,Mies van der Rohe Archive,33,63.5,,
"Farnsworth House, Plano, Illinois",Ludwig Mies van der Rohe,1945,"Synthetic polymer paint, wood, metal, plastic, Plexiglas, sand, and paper","30 1/4 x 60 3/8 x 42 1/4"" (76.8 x 153.4 x 107.3 cm)
",10/7/86,Architecture & Design,Architecture,76.8,153.3528,,
"IIT Master Plan, Chicago, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1945,Charcoal on tracing paper,"21 x 39 3/4"" (53.3 x 101 cm)",,Architecture & Design,Mies van der Rohe Archive,53.3401,100.9652,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois, Corner.  Perspective",Ludwig Mies van der Rohe,1945,Ink on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.6,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois, Corner.  Perspective.  Structural detail.  Section",Ludwig Mies van der Rohe,1945,Ink on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.6,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois, Corner.  Perspective.  Structural details.  Sections",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/4"" (15.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,20.955,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois (Door and window.  Elevations, plans)",Ludwig Mies van der Rohe,1945,Pencil on vellum,"53 x 42"" (134.6 x 106.7 cm)",,Architecture & Design,Mies van der Rohe Archive,134.6203,106.6802,,
"Farnsworth House, Plano, Illinois, Fireplace.  Perspective",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Steps.  Perspective, elevation",Ludwig Mies van der Rohe,1945,Black ink on Apex note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Exterior perspective",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois (Exterior perspective)",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Plan, exterior perspective",Ludwig Mies van der Rohe,1945,Pencil on Apex note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Doors and central core.  Interior perspective",Ludwig Mies van der Rohe,1945,Pencil on Apex note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Floor plan",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois (Interior perspective)",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois (Heater, section)",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Steps",Ludwig Mies van der Rohe,1945,Pencil on Apex note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Field House, Gymnasium, Natatorium, Chicago, Illinois, Perspective",Ludwig Mies van der Rohe,1945,"Red pencil, blue ink on Apex note paper","6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Field House, Gymnasium, Natatorium, Chicago, Illinois, Interior perspective",Ludwig Mies van der Rohe,1945,"Pencil, red pencil on Apex note paper","6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Cantor Drive-in Restaurant, Indianapolis, IN, Exterior perspective",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 1/2 x 8"" (16.5 x 20.3 cm)",,Architecture & Design,Mies van der Rohe Archive,16.51,20.3,,
"Cantor Drive-in Restaurant, Indianapolis, IN, Exterior perspective",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/4"" (15.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,20.955,,
"Cantor Drive-in Restaurant, Indianapolis, IN, Interior perspective",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/4"" (15.2 x 21 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,20.955,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois, Corner detail, exterior perspective",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Plan",Ludwig Mies van der Rohe,1945,Orange pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois, Plan",Ludwig Mies van der Rohe,1945,Colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"Farnsworth House, Plano, Illinois (Floor plan)",Ludwig Mies van der Rohe,1945,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
Exterior section and plan,Ludwig Mies van der Rohe,1945,Pencil on tracing paper,"21 x 31 1/4"" (53.3 x 79.4 cm)",,Architecture & Design,Mies van der Rohe Archive,53.3401,79.3752,,
"Farnsworth House, Plano, Illinois (Plan sketch showing eight-column structure with cantilevered ends, porch, core, and structural details)",Ludwig Mies van der Rohe,1945,Pencil and colored pencil paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall), Chicago, Illinois",Ludwig Mies van der Rohe,1945,"Pencil, ink stamp on note paper","6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
"IIT Metallurgical and Chemical Engineering Building (Perlstein Hall) Chicago, Illinois, Section, structural detail",Ludwig Mies van der Rohe,1945,Pencil and colored pencil on vellum,"36 x 42"" (91.4 x 106.7 cm)",,Architecture & Design,Mies van der Rohe Archive,91.44018288,106.6802134,,
"Chemical Engineering & Metallurgy Building, First Floor Plan",Ludwig Mies van der Rohe,1945,Pencil on vellum,"26 x 45 3/4"" (66 x 116.2 cm)",,Architecture & Design,Mies van der Rohe Archive,66,116.2,,
"Farnsworth House, Plano, Illinois, Plan",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Aerial perspective",Ludwig Mies van der Rohe,1945,Colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Wood panelling detail. Section.",Ludwig Mies van der Rohe,1945,Pencil on paper,"21 1/2 x 41 3/4"" (54.6 x 106 cm)",,Architecture & Design,Mies van der Rohe Archive,54.61010922,106.0452121,,
"Farnsworth House, Plano, Illinois, Structural detail. Plan, section.",Ludwig Mies van der Rohe,1945,Pencil on paper,"42 1/2 x 32"" (108 x 81.3 cm)",,Architecture & Design,Mies van der Rohe Archive,107.9502159,81.28016256,,
"Farnsworth House, Plano, Illinois, Cross-sections through bath-tub and fireplace.",Ludwig Mies van der Rohe,1945,Pencil on paper,"27 1/2 x 21 3/4"" (69.9 x 55.2 cm)",,Architecture & Design,Mies van der Rohe Archive,69.8501397,55.24511049,,
"Farnsworth House, Plano, Illinois, Nylon wheel. Section, elevation.",Ludwig Mies van der Rohe,1945,Pencil on paper,"8 1/2 x 11"" (21.6 x 27.9 cm)",,Architecture & Design,Mies van der Rohe Archive,21.59004318,27.94005588,,
"Farnsworth House, Plano, Illinois, Curtain track. Section, elevations, plan.",Ludwig Mies van der Rohe,1945,Pencil on paper,"8 1/2 x 11"" (21.6 x 27.9 cm)",,Architecture & Design,Mies van der Rohe Archive,21.59004318,27.94005588,,
"Farnsworth House, Plano, Illinois, Terrace. Sections.",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Bathroom. Two interior perspectives, elevation.",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Plan.",Ludwig Mies van der Rohe,1945,Colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Central core. Plan, perspective.",Ludwig Mies van der Rohe,1945,Colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Elevation, plan",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Center core. Interior perspective.",Ludwig Mies van der Rohe,1945,Pencil and colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Steps. Plan, sections.",Ludwig Mies van der Rohe,1945,Colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Plan, sections",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Terrace. Perspective, section",Ludwig Mies van der Rohe,1945,Pencil and colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Fireplace. Perspective.",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Structural detail. Sketch.",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Window framing details. Perspectives.",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"Farnsworth House, Plano, Illinois, Steps, perspective and elevation",Ludwig Mies van der Rohe,1945,Pencil and colored pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24003048,21.59004318,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois (Floor plan)",Ludwig Mies van der Rohe,1945,Pencil on paper,"24 x 34 1/4"" (61 x 87 cm)",,Architecture & Design,Mies van der Rohe Archive,60.96012192,86.99517399,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois (Plan)",Ludwig Mies van der Rohe,1945,Pencil on paper,"24 x 34 3/4"" (61 x 88.3 cm)",,Architecture & Design,Mies van der Rohe Archive,60.96012192,88.26517653,,
"IIT Alumni Memorial Hall (Navy Building), Chicago, Illinois (Sections)",Ludwig Mies van der Rohe,1945,Pencil on paper,"24 x 34 3/4"" (61 x 88.3 cm)",,Architecture & Design,Mies van der Rohe Archive,60.96012192,88.26517653,,
"Cantor Drive-in Restaurant, Indianapolis, IN (Floor plan and elevation with seating layout)",Ludwig Mies van der Rohe,1945,Pencil on tracing paper,"21 x 28"" (53.3 x 71.1 cm)",,Architecture & Design,Mies van der Rohe Archive,53.34010668,71.12014224,,
"Farnsworth House, Plano, Illinois, Terrace perspective sketch",Ludwig Mies van der Rohe,1945,Pencil on note paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",,Architecture & Design,Mies van der Rohe Archive,15.24,21.59,,
